Advantasure fields,,,,,,,,HRP,,,HE - Enrollment Sparse,,
No,field,Type,,Details,Sample,Description,,,,,XML Mapping,Mapping Logics,Comments
1,Transaction Type,ALL,3,,D,The transaction type that is being output and determines which fields will be populated on the record.,,NA,Not needed,NA,NA,,
,,,,,,,,,,,,,
,,,,,,LOV:,,,,,,,
,,,,,,▪    DEM (Demographics) – Non spanable always contains the latest value,,,,,,,
,,,,,,▪    ADR – Address History,,,,,,,
,,,,,,▪    PLN – Plan Enrollment History,,,,,,,
,,,,,,▪    PWO – Premium Withhold,,,,,,,
,,,,,,▪    LIS – Low Income Subsidy,,,,,,,
,,,,,,▪    LEP – Late Enrollment Penalty,,,,,,,
,,,,,,▪    FLG – Flag set in the system,,,,,,,
,,,,,,▪    BRK – Broker,,,,,,,
,,,,,,▪    PCP – Primary Care Physician,,,,,,,
,,,,,,▪    GRP – Group/Subgroup information,,,,,,,
,,,,,,▪    RDR – Rider,,,,,,,
,,,,,,▪    COB – Coordination of Benefits,,,,,,,
,,,,,,▪    MCD - Medicaid,,,,,,,
,,,,,,▪    M3P-Medicare Prescription Payment Plan,,,,,,,
16,Member Gender,DEM,1,Member Details,M,LOV: M = Male; F = Female; U=Unknown,,General : Gender,Y,Member- Demograohic,"/enrollment/member/individual/genderCode

Member match mapping -

enrollment/member/memberMatchData/member/gender
enrollment/member/memberMatchData/subscriber/gender



Need to map the following;

If the input field is 'M' then hardcode the above XML as 'Male'
If the input field is 'F' then hardcode the above XML as 'Female'

Else, if we get any other input field then hardcode the above XML as 'Unknown'",,
17,Member Social Security Number,DEM,9,Member Details,159357852,Member’s social security number,Will only populate if SSN is populated on Member Details field but is not collected or required for an MA application,General : SSN,Y,Member- Demograohic,"/enrollment/member/individual/taxIdentificationNumber

Member match mapping -

enrollment/member/memberMatchData/member/taxId
enrollment/member/memberMatchData/subscriber/taxId","Format of tax identification number - 161-11-7187.

Include hyphen as per the example mentioned above",
18,Address Type,ADR,9,PCP/Enroll History,Permanent,Type of address listed on this ADR record,Will be blank for DEM,NA,Y,NA,,,
19,Member Permanent Address 1,"DEM,",55,PCP/Enroll History,123 Main Street,Address line 1 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,Contact: Residential Address,Y,Member - Contact,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/codeSetName

Codesetname need to be hardcoded to ""IndividualAddressType""

/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/codeEntry = '2'

Code Entry = ""2""

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address","Ignore address check for all addresses = let us set as False for now.

By default it is 'False'",
,,,,,,,,,,,,,
20,Member Permanent Address 2,"DEM,",55,PCP/Enroll History,Apt 201,Address line 2 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address2,,
,,,,,,,,,,,,,
21,Member Permanent Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address3,,
,,,,,,,,,,,,,
22,Member Permanent City,"DEM,",30,PCP/Enroll History,Cambridge,City of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/cityName,,
,,,,,,,,,,,,,
23,Member Permanent County,"DEM,",30,PCP/Enroll History,Middlesex,County of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,,,
,,,,,,,,,,,,,
24,Member Permanent State,"DEM,",2,PCP/Enroll History,MA,State of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/stateCode,,
,,,,,,,,,,,,,
25,Member Permanent SCC,"DEM, ADR",5,PCP/Enroll History,25017,Unique code used by SSA to identify each combination of State and County,DEM transaction: contains most recent address,,N,,,,
,,,,,,,,,,,,,
26,Member Permanent Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip Code of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipCode (byte 1-5)

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipExtensionCode (byte 6-9)",,
,,,,,,,,,,,,,
27,Member Mailing Address 1,"DEM,",55,PCP/Enroll History,,Address line 1 of the mailing address of the member in the system,DEM transaction: contains most recent address,Contact:Correspondence Address,Y,,/enrollment/member/correspondenceAddress/postalAddress/address1,"•  Map the Mailing address from DEM transaction for
      •  New enrollment/Re-enrollment
      •  Mailing Address changes reported

•  Address Type (field 18) will be blank . Field 27-32 need to be considered for Mailing address.",
,,,,,,,,,,,,,
28,Member Mailing Address 2,"DEM,",55,PCP/Enroll History,,Address line 2 of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/correspondenceAddress/postalAddress/address2,,
,,,,,,,,,,,,,
29,Member Mailing Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/correspondenceAddress/postalAddress/address3,,
,,,,,,,,,,,,,
30,Member Mailing City,"DEM,",30,PCP/Enroll History,,City of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/correspondenceAddress/postalAddress/cityName,,
,,,,,,,,,,,,,
31,Member Mailing State,"DEM,",2,PCP/Enroll History,,State of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/correspondenceAddress/postalAddress/stateCode,,
,,,,,,,,,,,,,
32,Member Mailing Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip code of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,"Byte 1-5
/enrollment/member/correspondenceAddress/postalAddress/zipCode
Byte 6-9
/enrollment/member/correspondenceAddress/postalAddress/zipExtensionCode",,
,,,,,,,,,,,,,
33,Member Billing Address 1,"DEM,",55,PCP/Enroll History,,Address line 1 of the billing address of the member in the system,DEM transaction: contains most recent address,Contact: Billing Address,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address

/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/codeSetName

Codesetname = IndividualAddressType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/codeEntry = 10

Code Entry = 10",,"•  Map the Billing address from DEM transaction for
      •  New enrollment/Re-enrollment
      •  Billing Address changes reported

•  Address Type (field 18) will be blank . Field 33-38 need to be considered for Billing address."
,,,,,,,,,,,,,
34,Member Billing Address 2,"DEM,",55,PCP/Enroll History,,Address line 2 of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo
/postalAddress/address2",,
,,,,,,,,,,,,,
35,Member Billing Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo
/postalAddress/address3",,
,,,,,,,,,,,,,
36,Member Billing City,"DEM,",30,PCP/Enroll History,,City of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/cityName,,
,,,,,,,,,,,,,
37,Member Billing State,"DEM,",2,PCP/Enroll History,,State of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo
/postalAddress/stateCode",,
,,,,,,,,,,,,,
38,Member Billing Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip code of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipCode (byte 1-5)
/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipExtensionCode (byte 6-9)",,
,,,,,,,,,,,,,
39,Member Home Phone Number,DEM,10,Member Details,5552227654,Primary phone number for contact,No dashes or hyphens,Contact:Phone number,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName

Code Set Name  = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry

Code Entry = HP

First 3 digits to
 /enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode

The next 7 digits to

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber",,
40,Alternate Member Phone Number,DEM,10,Member Details,5552345612,"Alternate phone number can be mobile, office, or other voice line",No dashes or hyphens,Contact:Phone number,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName

Code Set Name = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry

Code Entry = AP

First 3 digits to
 /enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode

The next 7 digits to

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber",,
41,Member Email Address,DEM,60,Member Details,jsmith@add ress.com,Email address supplied by member on the election form,,Contact:Email,Y,,"/enrollment/member/physicalAddress/memberPhysicalAddress/emailAddress
/enrollment/member/correspondenceAddress/emailAddress",,
42,Name of Emergency Contact,DEM,200,Member Details,Jane Good,Name of individual to be contacted in case of emergency,,"Couldn’t locate in HRP UI for other responsible
PHI- Personal Representatives",N,"NA
Member - PHI","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/lastName

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/firstName

The Full name is sent across the file. Based on spaces we need to split First name and Last name.

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeSetName

CodeSetName = responsibilityTypeCode

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeEntry

Code Entry = 4","Emergency Contact

Emergecny  details need to group together.

'Emergecy Contact Relationship to Member' and 'Emergency Contact phone number' will be applicable if 'Name of Emergency Contact' is available.

Format - <First Name>  <Last name>











Refer the crosswalk of 'Relationship to Member' code entry",
43,Emergency Contact Relationship to Member,DEM,50,Member Details,Daughter,Emergency contacts relationship to member,,Couldn’t locate in HRP UI,Y,NA,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/relationshipToMemberCode/codeSetName

Code Set Name = PHIRelationshipToMember


/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/relationshipToMemberCode/shortname",,
44,Emergency Contact Phone Number,DEM,10,Member Details,5551347629,Emergency contact phone number,,Couldn’t locate in HRP UI,Y,NA,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry

Code Entry = TE

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName=IndividualPhoneType

code set name = IndividualPhoneType

First 3 digits to

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode

The next 7 digits to

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber",,
45,"ID Card Trigger flag
The significance of this field",DEM,1,Member Details,Y,Flag indicates if a new ID Card is requested LOV: Y = Yes; N = No,Flag will be reset to No after the file is generated,NA,Not needed,NA,NA,,
46,Endangered Member Flag,DEM,1,Member Details,Y,Flag indicates that member is endangered/at risk; LOV: Y = Yes; N = No,"If Y, member is at risk from family member or cohabiting person",PHI:Confidential communication,,Member-PHI,"If input value in 'Endagered Member Flag' is  'Y'

/enrollment/member/ccDirectiveList/confidentialCommunicationDirective/confidentialCommunicationTypeCode/codeSetName

Code Set Name = PHIConfidentialCommunicationType

/enrollment/member/ccDirectiveList/confidentialCommunicationDirective/confidentialCommunicationTypeCode/codeEntry=1

Code Entry = 1

/enrollment/member/ccDirectiveList/confidentialCommunicationDirective/confidentialCommunicationScope = ""Endangered""

confidentialCommunicationScope need to hardcode to ""Endangered""

/enrollment/member/ccDirectiveList/confidentialCommunicationDirective/effectiveStartDate

Start Date is Start date from the DEM transaction

(the communication scope and effective date is populated because during testing it was identified this is a mandatory xml tag for Enrollment Sparse to process Dual status code to HRP)",hardcode /enrollment/member/ccDirectiveList/listMode as 'REPLACE'.,"/enrollment/member/ccDirectiveList/listMode can be changed based on implementaion requirements. With 'REPLACE', existing data will be replaced by the new data."
47,Member in OOA Process,DEM,1,Member Details,Y,Flag indicating that the member is currently in the Out Of Area process; LOV: Y = Yes; N = No,,,,,,,
48,Source for placing in OOA process,DEM,30,Member Details,Returned Mail,Provides source of information that placed member in the OOA process,Source could be a TRC received from CMS or an update by a user,Couldn’t locate in HRP UI,N,NA,NA,,
49,Date of Move,DEM,8,Member Details,20120416,"Date member moved out of the service area, in the format YYYYMMDD",Date of move can be prospective or retroactive,Couldn’t locate in HRP UI,N,NA,NA,,
50,Move Deadline,DEM,8,Member Details,20121131,Date calculated by the system based on client logic after which member will be Involuntarily disenrolled,Date Involuntary Termination will be triggered based on move date,Couldn’t locate in HRP UI,N,NA,NA,,
51,Medicaid ID,DEM,14,Member Details,612452885,Medicaid number of the member in the system,,General:Other ID,,Member - ID details,"Here we need to Map the input value (Medicaid ID) to the below tag

/enrollment/member/qualifierList/qualifierValue

String ""MedicaidID"" need to be hardcoded to qualifierName in the below tag

/enrollment/member/qualifierList/qualifierName",,
52,Medicare Part A Eff Date,DEM,8,IEQ,20000101,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part A,Y,Member- Medicare,/enrollment/member/medicareHICN/partADates/partADate/effectiveDate,Date format - YYYY-MM-DD,Map from field '3'
53,Medicare Part A End Date,DEM,8,IEQ,,YYYYMMDD,Value received in response to latest IEQ – usually blank (open),Medicare: Part A,Y,Member- Medicare,/enrollment/member/medicareHICN/partADates/partADate/terminationDate,Date format - YYYY-MM-DD,
54,Medicare Part B Eff Date,DEM,8,IEQ,20020301,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part B,Y,Member- Medicare,/enrollment/member/medicareHICN/partBDates/partBDate/effectiveDate,Date format - YYYY-MM-DD,
55,Medicare Part B End Date,DEM,8,IEQ,,YYYYMMDD,Value received in response to latest IEQ usually blank (open),Medicare: Part B,Y,Member- Medicare,/enrollment/member/medicareHICN/partBDates/partBDate/terminationDate,Date format - YYYY-MM-DD,
56,Medicare Part D Eff Date,DEM,8,IEQ,20020401,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part D,Y,Member- Medicare,/enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/startDate,Date format - YYYY-MM-DD,
57,Medicare Part D End Date,DEM,8,IEQ,20120430,YYYYMMDD,Value received in response to latest IEQ – usually blank (open),Medicare: Part D,Y,Member- Medicare,/enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/endDate,Date format - YYYY-MM-DD,
58,Language Code,DEM,3,Member Details,SPA,Language code selected on Member Details screen,Refer Language Codes in the Advantasure specification document,General:Language,Y,Member-Demographic,"/enrollment/member/individual/languages/language/languageDomainCode/codeEntry

enrollment/member/individual/languages/language/languageDomainCode/codesetName

Codesetname need to hardcoded to ""LanguageDomain""

Refer Crosswalks tab ""Language Code""

/enrollment/member/individual/languages/language/primaryLanguage = ""true""",,
59,Alternative Format Large Print,DEM,1,Member Details,Y,Flag indicating materials requested in large print format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,"if Y
/enrollment/member/communicationPreferences/contactMethod = ""Other""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeSetName
CodeSetName = ""DocumentDeliveryMethod""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeEntry = 4",,
60,Alternative Format Braille,DEM,1,Member Details,Y,Flag indicating materials requested in Braille format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,"if Y
/enrollment/member/communicationPreferences/contactMethod = ""Other""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeSetName
codeSetName =  ""DocumentDeliveryMethod""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeEntry=8",,
61,Alternative Format Audio Tape,DEM,1,Member Details,Y,Flag indicating materials requested in audio tape format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,"if Y
/enrollment/member/communicationPreferences/contactMethod = ""Other""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeSetName codeSetName = ""DocumentDeliveryMethod""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeEntry=6",,
62,Fax Number,DEM,10,Member Details,8885552222,Fax number with no hyphens or special characters,Client-specific,Contact:Phone number,Y,Member-Contact,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName

CodeSetName = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry

Code Entry = FX

First 3 digits to
 /enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode

The next 7 digits to

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber",,
63,"In LEP Process Status
If in LEP process, what are the processes",DEM,1,Member Details,Y,Indicates whether the member is in the LEP queue/creditable coverage determination process; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,NA,,
64,"Authorized Rep Name
Available in UI,",DEM,105,Member Details,Nancy James,Name of individual listed as Authorized Representative on member record. Formerly POA Name field.,,PHI:POA,Y,Member-PHI,"enrollment/member/memberRepresentative/authorizedIndividual/authorizedPerson/firstName

enrollment/member/memberRepresentative/authorizedIndividual/authorizedPerson/lastName

The Full name is sent across the file. Based on spaces we need to split First name and Last name.

enrollment/member/memberRepresentative/authorizedIndividual/representativeTypeCode/codeSetName = TypeOfLegalRepresentative

enrollment/member/memberRepresentative/authorizedIndividual/representativeTypeCode/codeEntry=3","Authorized Rep details will be applicable only if Authorized rep name is available.

Format - <First Name>  <Last name>",
65,"Authorized Rep
Address 1",DEM,55,Member Details,123 Main,"Authorized Rep address line 1 from member
record. Formerly POA Address 1 field.",,,Y,,"enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/ignoreAddressCheck=false
enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/address",,
66,"Authorized Rep
Address 2",DEM,55,Member Details,Apt 2,"Authorized Rep address line 2 from member
record. Formerly POA Address 2 field.",,,Y,,enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/address2,,
67,"Authorized Rep
Address 3",DEM,55,Member Details,,Not applicable and not displayed on UI. Formerly POA Address 3 field.,NA,,Not needed,,enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/address3,,
68,Authorized Rep City,DEM,30,Member Details,Las Vegas,"Authorized Rep city from member record.
Formerly POA City field.",,,Y,,enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/cityName,,
69,"Authorized Rep
County",DEM,30,Member Details,Henderson,Authorized Rep county from member record. Formerly POA County field.,,,Y,,,,
70,Authorized Rep State,DEM,2,Member Details,NV,"Authorized Rep state from member record.
Formerly POA State field.",,,Y,,enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/stateCode,,
71,Authorized Rep Zip Code,DEM,9,Member Details,,Authorized Rep zip code from member record. Formerly POA Zip Code field.,,,Y,,"enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/zipCode (bytes 1-5)

enrollment/member/memberRepresentative/authorizedIndividual/postalAddress/zipExtensionCode (bytes 6-9)",,
72,"Authorized Rep Phone
Number",DEM,10,Member Details,5554445678,"Authorized Rep phone number from member
record. Formerly POA Phone Number field.",,,Y,,"First 3 digits

enrollment/member/memberRepresentative/authorizedIndividual/authorizedIndividualGroupPhoneList/telephoneNumber/phoneAreaCode

Next 7 digits
enrollment/member/memberRepresentative/authorizedIndividual/authorizedIndividualGroupPhoneList/telephoneNumber/phoneNumber

enrollment/member/memberRepresentative/authorizedIndividual/authorizedIndividualGroupPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName = IndividualPhoneType

enrollment/member/memberRepresentative/authorizedIndividual/authorizedIndividualGroupPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry = TE",,
73,"Authorized Rep
Relationship",DEM,30,Member Details,Son,"Authorized Rep relationship from member
record. Formerly POA Relationship field.",,,Y,,"enrollment/member/memberRepresentative/authorizedIndividual/relationshipToMemberCode/codeSetName = PHIRelationshipToMember
enrollment/member/memberRepresentative/authorizedIndividual/relationshipToMemberCode/Shortname



As discussed with dev team, both code set name(TypeOfLegalRepresentative and  PHIRelationshipTomember is required, otherwise it will get error out)",,
