EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Mapped to XSD element,HRP Element Description,Transformation Logic,Comments /Needs to review,
ISA16,Component Element Separator,The delimiter used to separate component data elements,R,: = Element Seperator,,,,,,
GS -Functional Group Header Segment,,,,,,,,,,
GS01,Functional Identifier Code,The two-character identifier Code for the transaction set included.,R,HC : Health Care Claim (837),,,,,,
GS02,Application Sender's Code,"Code identifying party sending transmission,  codes agreed to by trading partners
This is Submitter-specific.",R,<Sender ID>,Example : 100ZM,,,,,
GS03,Application Receiver's Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,<HealthPlan ID>,,,,,,
GS04,Date,Date the Group Header is created.,R,SysDate (YYYYMMDD),20210701,,,,,
GS05,Time,Time the Group Header is created.,R,SysTime (HHMM),1213,,,,,
GS06,Group Control Number,Submitter-specific number.,R,<Group Control Number>,75041,,,,,
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,,,,,,
GS08,Version / Release / Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X223A2,,,,,,
ST - Transaction Set Header Segment,,,,,,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,,,,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",002,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/externalBatchSequenceNumber,External batch sequence number.,,,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X223A2,,,,,,
BHT - Beginning Of Hierarchical Transaction Segment,,,,,,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019- Information Source, Subscriber, Dependent",,,,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",,,,,,
BHT03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,<Originator Application Transaction Identifier>,75041,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/externalClaimBatchNumber,"Batch number assigned by external
system.",,,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD) -,20210701,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/receiptDate,"Date on which the Health Care Company
was first made aware of the
claim - reflected as Received Date in HRP UI","Mapped from BHT04, formatted to YYYY-MM-DD",,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/cleanClaimDate,"Date as of which all of the information
necessary to process the
claim was received. This information
can be used to determine
whether interest should be calculated
on the claim. -- reflected in Clean Claim Date at claim line level","Mapped from BHT04, formatted to YYYY-MM-DD",,
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),121314,,,,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,CH- Chargeable,,,,,,
Loop 1000A (Required)Loop Repeat: 1,,,,,,,,,,
Segment NM1 - Submitter Name  (Required),,,,,,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,,,,,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Submitter Last/Org Name>,THE SSI GROUP,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/submitterName,<Submitter Last/Org Name>,,In highmark it is 1000A.(NM103+NM104+NM105),
1000A.NM104,Name First,Individual first name,S,,,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,,
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,<Submitter ID>,100SS,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/submitterId,Claim submitter Id,,",Claim submitter Id",
Segment PER - Submitter EDI Contact Information,,,,,,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC,,,,,,
1000A.PER02,Name,Submitter Contact Name,S,<Submitter Name> - JOAN KOSSOW,,,,,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,<Email/Faxsimile Number/Telephone Number> - 2513450000,,,,,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number> 2513450100,,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail EM
""FX"" - Facsimile
""TE"" - Telephone",,,,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number>,,,,,,
Loop 1000B (Required)Loop Repeat: 1,,,,,,,,,,
Segment NM1 - Receiver Name  (Required),,,,,,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"40 : Receiver
41:Submitter",,,,,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,,,
1000B.NM103,Name Last or Organization Name,Code identifying an organizational NAME,R,HealthPlan Name,CO ACCESS,,,,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,,,
1000B.NM109,Identification Code,Code identifying a party,R,<HealthPlan Payer ID> - COA,,,,,,
Loop 2000A (Required)Loop Repeat: >1,,,,,,,,,,
Segment HL - Billing Provider Hierarchical Level  (Required),,,,,,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",,,,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,,,,,,
2000A.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",,,,,,
Segment PRV - Billing Provider Specialty Information  (Situational),,,,,,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/additionalCodes/codes/qualifier,,,,
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/additionalCodes/codes/code,,,,
Segment CUR - Foreign Currency Information (Situational),,,,,,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,,,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,<Currency Code>,,,,,,
Loop 2010AA (Required) Loop Repeat: 1,,,,,,,,,,
Segment NM1 - Billing Provider Name (Required),,,,,,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,,"Indicates if the payables and payment
are generated internally after
adjudicating claims using
healthRules, or if the payments are
handled by an external payor.",,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Billing Provider Organizational Name>,MILLCREEK OF ARKANSAS,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/payToName,"If NM102 is Person, this should be
the Billing Provider Last Name.
If NM102 is Non-Person, this
should be the Organization Name",,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/fullName,Billing Recipient  Full Name,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/supplierName,Name of the supplier.,,,
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,<Billing Provider NPI> -,0052482036,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/npi,Supplier's National Provider ID,,,
Segment N3 - Billing Provider Address (Required),,,,,,,,,,
2010AA.N301,Address Information,Code identifying the address,R,<Billing Provider Address Line>,4495 YUKON COURT APT 78,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/address,The first line of the street address.,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/address,The first line of the street address.,,,
2010AA.N302,Address Information,Code identifying the address,S,<Billing Provider Address Line>,PO BOX 17471,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/address,,"Concatenate the value (if present) to this XML field, separated by comma and space (, )",,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/address2,,second instance of street address,,
"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,,,,,,,,,
2010AA.N401,City Name,Code identifying the address,R,,DENVER,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/cityName,city,,Need to confirm on address,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/cityName,city,,,
2010AA.N402,State or Province Code,Code identifying the address,S,,CO,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/stateCode,State abbreviation,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/stateCode,State abbreviation,,,
2010AA.N403,Postal Code,Code identifying the address,S,,802044507,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/zipCode,zip code,Map byte 1-5,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/zipSuffixCode,Zip code suffix,Map byte 6-9,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/zipCode,zip code,Map byte 1-5,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/zipSuffixCode,Zip code suffix,Map byte 6-9,,
2010AA.N404,Country Code,Code identifying the address,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/countryCode/countryCode,Country code,"Map ""US"" if no value present",,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/countryCode/countryCode,Country code,"Map ""US"" if no value present",,
2010AA.N407,Country Subdivision Code,,S,,,,,,,
Segment REF - Billing Provider Tax Identification (Required),,,,,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/taxIdentificationNumber,Supplier tax identification number,if /837/2000A/2010AA/REF01 (Reference Identification Qualifier) is ‘EI’ then it will be mapped into ‘XX-XXXXXXXX’ format to taxIdentificationNumber (institutionalClaim/supplierInformation/taxIdentificationNumber).,In COA we do have  mapping for SY and EI Seperately but  In care plus only had SSN identidfication segment .Need to confirm,
Segment - PER Billing Provider Contact Information (Situational),,,,,,,,,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,,,,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,,,,,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone","""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,If PER03='EM' Don’t mapped to any field in XML,
2010AA.PER04,Communication Number,"Complete communications number including
country or area code",R,,3033981735,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/faxNumber,Supplier's fax number,"If PER03/05/07 ='FX', Map the /faxNumber from PER04/06/08",,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/supplierInformation/telephoneNumber,Supplier telephone number.,"If PER03/05/07 ='TE', Map the/telephoneNumber from PER04/06/08",,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/billingRecipient/telephoneNumber,Billing Recipient telephone number.,"If PER03/05/07 ='TE', Map the/telephoneNumber from PER04/06/08",,
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,,,
2010AA.PER06,Communication Number,Communication Number,S,,3033981649,,,,If PER03='EM' Don’t mapped to any field in XML,
2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,,,
2010AA.PER08,Communication Number,,S,,3033981649,,,,,
Loop 2010AB (Situational) Loop Repeat: 1,,,,,,,,,,
Segment - NM1 Pay-to Address Name (Situational),,,,,,,,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,,,,,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",,,,,,
Segment - N3 Pay-to Address - ADDRESS (Required),,,,,,,,,,
2010AB.N301,Address Information,Address Information,R,PO BOX 17379,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/address,The first line of the street address.,,,
2010AB.N302,Address Information,Address Information,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/address,,"Concatenate the value (if present) to this XML field, separated by comma and space (, )",,
"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,,,,,,,,,
2010AB.N401,City Name,Free-form text for city name,R,DENVER,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/cityName,city,,,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,CO,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/stateCode,State abbreviation,,,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,802170379,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/zipCode,zip code,1-5 digits,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/zipSuffixCode,Zip code suffix,6-9 digits,,
2010AB.N404,Country Code,Code identifying the country,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/payToInformation/countryCode/countryCode,Country code,‘countryCode’ tag can be loaded as ‘US’ by default when there is no corresponding value in the N4 segments in EDI,,
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,
Loop 2010AC (Situational)  Loop Repeat: 1,,,,,,,,,,
Segment - NM1 Pay-To Plan Name (Situational),,,,,,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,,
Segment - N3 Pay-to Plan Address (Required),,,,,,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,,,
"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,,,,,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,
Segment - REF Pay-to Plan Secondary Identification (Required),,,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,,R,,,,,,,
2010AC.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,,
Segment - REF Pay-To Plan Tax Identification Number (Required),,,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,,,
Loop 2000B (Required) Loop Repeat: >1,,,,,,,,,,
Segment - HL Subscriber Hierarchical Level (Required),,,,,,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",,1,,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,,,,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22- Subscriber,,,,,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",0 /1 Based On The Count - 1,,,,,
Segment - SBR Subscriber Information (Required),,,,,,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T  : Tertiary",S,,,,,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 Self,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/insuranceInformation/subscriberInformation/relationshipToSubscriberCode,"Code indicating member's relationship to
the account subscriber",,If 2000C.PAT  does not exist.,
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/insuranceInformation/subscriberInformation/insuranceGroupNumber,insuranceGroupNumber,,,
2000B.SBR04,Name,,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/insuranceInformation/subscriberInformation/groupName,"The name of the group or plan through which the
health insurance coverage is provided to the
insured.",,,
2000B.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.",,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/claimFilingCode,"Claim filing idicator code, passthrough
from an external system",,,
Loop 2010BA (Required)Loop Repeat: 1,,One instance of OtherInsuranceInformation will always carry the details from 2010BA Loop.),,,,,,,,
Segment - NM1 Subscriber Name (Required),,,,,,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,,,,,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/memberInformation/lastName,Member Last Name,,If 2010CA.NM1  does not exist.,
2010BA.NM103,,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/insuranceInformation/subscriberInformation/segmentedName/lastName,Subscriber Last Name,,,
2010BA.NM104,Name First,Individual first name,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/memberInformation/firstName,Member First Name,,If 2010CA.NM1  does not exist.,
2010BA.NM104,,,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/insuranceInformation/subscriberInformation/segmentedName/firstName,Subscriber First Name,,,
2010BA.NM104,,,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/memberInformation/memberName,Member full name.,,If 2010CA.NM1  does not exist.,
