Advantasure fields,,,,,,,,HRP,,,HE - Enrollment Sparse,,
No,field,Type,,Details,Sample,Description,,,,,CSV Mapping,Mapping Logics,Comments
144,ESRD Flag,FLG,1,PCP/Enroll History,Y,Member has ESRD; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare,Y,Member - Health Indicators,ESRDFlag_X,"Map only if ESRD  Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,ESRDFlagStartDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,ESRDFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
145,Transplant Flag,FLG,1,PCP/Enroll History,Y,Member received a transplant; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,TransplantFlag_X,"Map only if Transplant  Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,TransplantFlagStartDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,TransplantFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
146,Dialysis Flag,FLG,1,PCP/Enroll History,Y,Member is on Dialysis; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,DialysisFlag_X,"Map only if Dialysis  Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,DialysisFlagStartDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,DialysisFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
147,Disabled Flag,FLG,1,PCP/Enroll History,Y,Member is on Dialysis; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,DisabledFlag_X,"If Disabled Flag = Y, map /isHandicapped as True
If Disabled Flag = N, map /isHandicapped as False

Populate it based on the number of occurences of FLG trasaction",
,,,,,,,,,,,DisabledFlagStartDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,DisabledFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
148,Plan Override Indicator,FLG,1,PCP/Enroll History,Y,Plan override indicator: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,,,
149,Dual Status Code,MCD,2,PCP/Enroll History,,"Member has Medicaid Dual Status in Medicaid Eligibility History.
LOV: 01, 02, 03, 04, 05, 06, 08, 09, 99",Values will be captured from MCMD processing or user updates,Medicare,Y,Member - Medicare,DualStatusCode_X,Populate it based on the number of occurences of MCD transaction.,
,,,,,,,,,,,MCD_StartdateX,"Date format - YYYY-MM-DD

Populate from Start Date of MCD transaction.",
,,,,,,,,,,,MCD_EnddateX,"Date format - YYYY-MM-DD

Populate from End Date of MCD transaction",
150,Medicaid Record Type,MCD,1,PCP/Enroll History,,"Dual Status record type; LOV: A = Audited, V = Valid",Values will be captured from MCMD processing or user updates,Couldn’t locate in HRP UI,N,NA,xml TAG not available in Sparse,,
151,COB Update Date,COB,8,CMS Files,,YYYYMMDD,Client-specific,Date,Y,Member-COB,COBUpdateDate_X,"Populate it based on the number of occurences.

Date format - YYYY-MM-DD",
,,,,,,,,,,,COBStartdate_X,"Date format - YYYY-MM-DD

Populate start date from COB transaction",
,,,,,,,,,,,COBEnddate_X,"Date format - YYYY-MM-DD
Populate from End Date of COB transaction",
152,Name of Other Coverage,COB,50,CMS Files,,Other insurance name,Client-specific,COB,Y,Member - COB,NameofOtherCoverage_X,Populate it based on the number of occurences of COB transaction.,
153,Subscriber ID of Other Coverage,COB,20,CMS Files,,Other insurance ID number,Client-specific,COB,Y,Member - COB,SubscriberIDofOtherCoverage_X,Populate it based on the number of occurences of COB transaction.,
154,Group ID of other Coverage,COB,20,CMS Files,,Other insurance group number,Client-specific,COB,Y,Member - COB,GroupIDofotherCoverage_X,Populate it based on the number of occurences of COB transaction.,
155,Kind of Other Insurance,COB,3,CMS Files,,Type of other insurance,Client-specific,COB,Y,Member - COB,KindofOtherInsurance_X,Populate it based on the number of occurences of COB transaction.,
156,Name of Other Insurance Company,COB,200,CMS Files,,Name of other insurance company,Client-specific,COB,Y,Member - COB,NameofOtherInsuranceCompany_X,Populate it based on the number of occurences of COB transaction.,
157,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
158,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
159,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
160,M3P Term Reason,M3P,50,PCP/Enroll History,,"LOV: V = Voluntary, I = Involuntary If a member’s M3P span has an end date, there must be a termination reason populated",M3P Term Reason,NA,Not needed,NA,"M3PTermReason_X
M3PStartdate_X
M3PEnddate_X","Date format - YYYY-MM-DD

Populate start date/end date from M3P transaction",
161,Filler Field,,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
162,Gender Identity,DEM,50,Member Details,,"This element will populate with the code that is stored on the member details table. If a gender code also has an associated free text element, both will display within this field delimited by a comma.",,NA,Not needed,NA,GenderIdentity,,
163,Sexual Orientation,DEM,50,Member Details,,"This element will populate with the code that is stored on the member details table. If a gender code also has an associated free text element, both will display within this field delimited by a comma.",,NA,Not needed,NA,SexualOrientation,,
164,Alternative Format Data CD,DEM,1,Member Details,,Flag indicating materials requested in Data CD format; LOV: Y = Yes; N = No,Alternate Format: Data CD,NA,Not needed,NA,AlternativeFormatDataCD,,
165,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
166,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
