EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcode,CSV Field,Claim Level/Line Level,Transformation Logic
ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Exaample:000004846,"Hardcode as ""123456789""",,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,1= Interchange Acknowledgment Requested,,"Hardcode as ""0""",,,
ISA15,Interchange Usage Indicator,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",R,P=Production,,"""P""  if it is a Production region
""T""  if it is a Non-Production region",,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,R,: = Element Seperator,,"Hardcode  as "":""",,,
GS -Functional Group Header Segment,,,,,,,,,
GS01,Functional Identifier Code,The two-character identifier Code for the transaction set included.,R,HC : Health Care Claim (837),,Hardcode as “HC”,,,
GS02,Application Sender's Code,"Code identifying party sending transmission,  codes agreed to by trading partners
This is Submitter-specific.",R,<Sender ID>,Example : 100ZM,,SenderId,,
GS03,Application Receiver's Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,<HealthPlan ID>,,,ReceiverId,,
GS04,Date,Date the Group Header is created.,R,SysDate (YYYYMMDD),20210701,"Map this value from  current date in the format of ""YYYYMMDD""",,,
GS05,Time,Time the Group Header is created.,R,SysTime (HHMM),1213,"Map this value from   current Time in the format of ""HHMMSS""",,,
GS06,Group Control Number,Submitter-specific number.,R,<Group Control Number>,75041,"Hardcode as ""123456789""",,,
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,,"Hardcode as ""X""",,,
GS08,Version / Release / Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X223A2,,"Hardcode as ""005010X222A2""",,,
ST - Transaction Set Header Segment,,,,,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,,837,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",002,Unique control number needs to populated from process flow or map,,,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X223A2,,005010X222A2,,,
BHT - Beginning Of Hierarchical Transaction Segment,,,,,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019- Information Source, Subscriber, Dependent",,0019,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",,"Hardcode as ""00""",,,
BHT03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,<Originator Application Transaction Identifier>,75041,"Hardcode as ""12345""",,,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD) -,20210701,,Receipt_Date,Claim Level,Format : YYYY-MM-DD
,,,,,,,Clean_Claim_Date,Claim Level,Format : YYYY-MM-DD
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),121314,"Map this value from   current Time in the format of ""HHMMSS""",,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,CH- Chargeable,,"Hardcode as ""RP""",,,
Loop 1000A (Required)Loop Repeat: 1,,,,,,,,,
Segment NM1 - Submitter Name  (Required),,,,,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,,"Hardcode as ""41""",,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,"Hardcode as ""2""",,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Submitter Last/Org Name>,THE SSI GROUP,,Submitter_Name,Claim Level,
1000A.NM104,Name First,Individual first name,S,,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,"Hardcode as ""46""",,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,<Submitter ID>,100SS,,Submitter_Id,Claim Level,
Segment PER - Submitter EDI Contact Information,,,,,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC,,"Hardcode  as ""IC""",,,
1000A.PER02,Name,Submitter Contact Name,S,<Submitter Name> - JOAN KOSSOW,,"""PRODUCT""",,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,"Hardcode  as ""TE""",,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,<Email/Faxsimile Number/Telephone Number> - 2513450000,,"Hardcode as ""1234567890""",,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number> 2513450100,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail EM
""FX"" - Facsimile
""TE"" - Telephone",,,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number>,,,,,
Loop 1000B (Required)Loop Repeat: 1,,,,,,,,,
Segment NM1 - Receiver Name  (Required),,,,,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,40 : Receiver,,"Hardcode as ""40""",,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,"Hardcode as ""2""",,,
1000B.NM103,Name Last or Organization Name,Code identifying an organizational NAME,R,,HealthPlan Name,"Hardcode as ""Product""",,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,"Hardcode as ""46""",,,
1000B.NM109,Identification Code,Code identifying a party,R,,<HealthPlan Payer ID>,"Default values
<123456789123>",,,
Loop 2000A (Required)Loop Repeat: >1,,,,,,,,,
Segment HL - Billing Provider Hierarchical Level  (Required),,,,,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",,Generated by Edifecs,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,,"Hardcode as ""20""",,,
2000A.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",,Generated by Edifecs,,,
Segment PRV - Billing Provider Specialty Information  (Situational),,,,,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,,,,,
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment CUR - Foreign Currency Information (Situational),,,,,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,<Currency Code>,,,,,
Loop 2010AA (Required) Loop Repeat: 1,,,,,,,,,
Segment NM1 - Billing Provider Name (Required),,,,,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,"Hardcode as ""85""",,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,"Hardcode as ""2""",,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Billing Provider Organizational Name>,MILLCREEK OF ARKANSAS,,BillingRecipient_Name,Claim Level,"Supplier name should be loaded first(if present) ,then billingrecipient name can be loaded"
,,,,,,,Supplier_Name,Claim Level,
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,"Hardcode as ""XX""",,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,<Billing Provider NPI> -,0052482036,,Supplier_Npi,Claim Level,
Segment N3 - Billing Provider Address (Required),,,,,,,,,
2010AA.N301,Address Information,Code identifying the address,R,<Billing Provider Address Line>,4495 YUKON COURT APT 78,,BillingRecipient_Address,Claim Level,"Concatenate the N301 and N302 value (if present)  separated by comma and space (, ) , include it in this element, for example, “3933 Haley Grove , Anand Sr""."
,,,,,,,Supplier_Address,Claim Level,"Concatenate the N301 and N302 value (if present)  separated by comma and space (, ) include it in this element, for example, “3933 Haley Grove , Anand Sr""."
2010AA.N302,Address Information,Code identifying the address,S,<Billing Provider Address Line>,PO BOX 17471,,,,
"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,,,,,,,,
2010AA.N401,City Name,Code identifying the address,R,,DENVER,,BillingRecipient_CityName,Claim Level,
,,,,,,,Supplier_CityName,Claim Level,
2010AA.N402,State or Province Code,Code identifying the address,S,,CO,,BillingRecipient_StateCode,Claim Level,
,,,,,,,Supplier_StateCode,Claim Level,
2010AA.N403,Postal Code,Code identifying the address,S,,802044507,,BillingRecipient_ZipCode,Claim Level,Map byte 1-5 byte
,,,,,,,Supplier_ZipCode,Claim Level,Map byte 1-5 byte
,,,,,,,BillingRecipient_ZipSuffixCode,Claim Level,Map byte 6-9
,,,,,,,Supplier_ZipSuffixCode,Claim Level,Map byte 6-9
2010AA.N404,Country Code,Code identifying the address,S,,,,,,
2010AA.N407,Country Subdivision Code,,S,,,,,,
Segment REF - Billing Provider Tax Identification (Required),,,,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,"Hardcode as ""EI""",,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Tax_Identification_Number,Claim Level,Format : XXX-XXXXXX
Segment - PER Billing Provider Contact Information (Situational),,,,,,,,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,,,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,Hardcode as 'PRODUCT',,,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone","FX- Facsimile
TE - Telephone","Hardcode as ""TE""",,,
2010AA.PER04,Communication Number,"Complete communications number including
country or area code",R,,3033981735,,Supplier_TelephoneNumber,Claim Level,If PER03=TE'
,,,,,,,BillingRecipient_TelephoneNumber,Claim Level,If PER03=TE'
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension","FX- Facsimile
TE - Telephone",,,,
2010AA.PER06,Communication Number,Communication Number,S,,3033981649,,,,
Loop 2010AB (Situational) Loop Repeat: 1,,,,,,,,,
Segment - NM1 Pay-to Address Name (Situational),,,,,,,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,,"Hardcode as ""87""",,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",,"Hardcode as ""2""",,,
Segment - N3 Pay-to Address - ADDRESS (Required),,,,,,,,,
2010AB.N301,Address Information,Address Information,R,,PO BOX 17379,,PayTo_Address,Claim Level,"Concatenate the N301 and N302 value (if present)  separated by comma and space (, )include it in this element, for example, “3933 Haley Grove , Anand Sr""."
2010AB.N302,Address Information,Address Information,S,,,,PayTo_Address,Claim Level,
"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,,,,,,,,
2010AB.N401,City Name,Free-form text for city name,R,,DENVER,,PayTo_CityName,Claim Level,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,,PayTo_StateCode,Claim Level,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802170379,,PayTo_Zip_Code,Claim Level,1-5 digits
2010AB.N404,Country Code,Code identifying the country,S,,,,,,
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Loop 2010AC (Situational)  Loop Repeat: 1,,,,,,,,,
Segment - NM1 Pay-To Plan Name (Situational),,,,,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
Segment - N3 Pay-to Plan Address (Required),,,,,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,,
"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,,,,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Pay-to Plan Secondary Identification (Required),,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,,R,,,,,,
2010AC.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Pay-To Plan Tax Identification Number (Required),,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2000B (Required) Loop Repeat: >1,,,,,,,,,
Segment - HL Subscriber Hierarchical Level (Required),,,,,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",,Generated by Edifecs,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,,2000A.HL01,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22- Subscriber,,"Hardcode as ""22""",,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",0 /1 Based On The Count - 1,Generated by Edifecs,,,
Segment - SBR Subscriber Information (Required),,,,,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T  : Tertiary",S,"Hardcode as ""P""",,,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,"1 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",,,Relationship_To_Subscriber_Code,Claim Level,Only if 2000C loop doesn’t exists.
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,Subscriber_Insurance_Group_Number,Claim Level,
2000B.SBR04,Name,,S,,,,Subscriber_Group_Name,Claim Level,
2000B.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.",,,Claim_Filing_Code,Claim Level,
Loop 2010BA (Required)Loop Repeat: 1,,,,,,,,,
Segment - NM1 Subscriber Name (Required),,,,,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,,"Hardcode as ""IL""",,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,"Hardcode as ""1""",,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Subscriber_Last_Name,Claim Level,
,,,,,,,Member_Last_Name,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.NM104,Name First,Individual first name,S,,,,Subscriber_Name,Claim Level,concatenate NM104/5/3/7 (First Middle Last Suffix)
,,,,,,,Member_Name,Claim Level,"Only if 2000C loop doesn’t exists.
concatenate NM104/5/3/7 (First Middle Last Suffix)"
,,,,,,,Subscriber_First_Name,Claim Level,
,,,,,,,Member_First_Name,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2010BA.NM107,Name Suffix,Suffix,S,,,,,,
2010BA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"II :  Standard Unique Health Identifier for each Individual in the United States
MI  :  Member Identification Number",,"Hardcode as ""MI""",,,
2010BA.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,S,,000561005,,Submitted_Subscriber_Id,Claim Level,
,,,,,,,Subscriber_Identification_Number,Claim Level,
,,,,,,,Member_Identification_Number,Claim Level,Only if 2000C loop doesn’t exists.
Segment - N3 Subscriber Address (Situational),,,,,,,,,
2010BA.N301,Address Information,Address Information,R,,4495 YUKON COURT APT 78,,Member_Street_Address,Claim Level,Only if 2000C loop doesn’t exists.
,,,,,,,Subscriber_Street_Address,Claim Level,
2010BA.N302,Address Information,,S,,,,,,
"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,,,,,,,,
2010BA.N401,City Name,Free-form text for city name,R,,WHEAT RIDGE,,Member_City_Name,Claim Level,Only if 2000C loop doesn’t exists.
,,,,,,,Subscriber_City_Name,Claim Level,
2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,,Member_State_Code,Claim Level,Only if 2000C loop doesn’t exists.
,,,,,,,Subscriber_State_Code,Claim Level,
2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,800333283,,Member_Postal_Code,Claim Level,Only if 2000C loop doesn’t exists.
,,,,,,,Subscriber_Postal_Code,Claim Level,
2010BA.N404,Country Code,Code identifying the country,S,,,,,,
2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - DMG Subscriber Demographic Information (Situational),,,,,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format,,"Hardcode as ""D8""",,,
2010BA.DMG02,Date Time Period,Date Time Period,R,YYYYMMDD,,,Member_DateOfBirth,Claim Level,"Only if 2000C loop doesn’t exists.
Format :YYYY-MM-DD"
,,,,,,,Subscriber_Date_Of_Birth,Claim Level,Format :YYYY-MM-DD
2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male",,,Member_Gender_Code,Claim Level,Only if 2000C loop doesn’t exists.
,,,,,,,Subscriber_Gender_Code,Claim Level,
Segment - REF Subscriber Secondary Identification (Situational),,,,,,,,,
2010BA.REF01,Reference Identification Qualifier,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,SY Social Security Number,,,,,
2010BA.REF02,Reference Identification,Code qualifying the Reference Identification,R,,,,,,
Segment - REF Property and Casualty Claim Number (Situational),,,,,,,,,
2010BA.REF01,Reference Identification Qualifier,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,Y4 Agency Claim Number,,,,,
2010BA.REF02,Reference Identification,Code qualifying the Reference Identification,R,,,,,,
Loop 2010BB (Required) Loop Repeat: 1,,,,,,,,,
Segment - NM1 Payer Name (Required),,,,,,,,,
2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR -Payer,,"Hardcode as ""PR""",,,
2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,"Hardcode as ""2""",,,
2010BB.NM103,Name Last or Organization Name,Name Last or Organization Name,R,HealthPlan,,,Payer_Name,Claim Level,
2010BB.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",,"Hardcode as ""PI""",,,
2010BB.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,R,,COACC,,Payer_Identification_Number,Claim Level,
Segment - N3 Payer Address (Situational),,,,,,,,,
2010BB.N301,Address Information,Address Information,R,,PO BOX 17471,"Hardcode as ""XXXX""",,,
2010BB.N302,Address Information,Address Information,S,,,,,,
"Segment - N4 Payer City, State, ZIP Code (Situational)",,,,,,,,,
2010BB.N401,City Name,Free-form text for city name,R,,DENVER,"Default value as ""Product""",,,
2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,"Default  value as ""CO""",,,
2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802170470,"Default  value as ""80014""",,,
2010BB.N404,Country Code,Code identifying the country,S,,,,,,
2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Payer Secondary Identification (Situational),,,,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Segment - REF Billing Provider Secondary Identification (Situational),,,,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
2010BB.DMG03,Gender Code,,R,,,,,,
"Loop 2000C - Patient Hierarchical Level (Situational)  In case of dependent claims (if the dependant is the patient ),  2000C loop will be there and the 2300 and 2400 loop will be below 2000C in that scenario)",,,,,,,,,
Segment HL -  Patient Hierarchical Level (Situational),,,,,,,,,
2000C.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,,,System Generated,,,
2000C.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,,,2000B.HL01,,,
2000C.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,"23 : Dependent (the information
in this HL applies to the patient when the subscriber
and the patient are not the same person)",,"Hardcode as ""23""",,,
2000C.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described",R,"0 :  No Subordinate HL Segment in This Hierarchical
Structure",,"Hardcode as ""0""",,,
Segment PAT - Patient information,,,,,,,,,
2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 : Spouse
19 : Child
18:self
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,,Relationship_To_Subscriber_Code,Claim Level,
Loop 2010CA - Patient Name (Situational)  Loop Repeat: 1,,,,,,,,,
Segment - NM1 Patient Name (Required),,,,,,,,,
2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QC : Patient,,"Hardcode as ""QC""",,,
2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1: Person,,"Hardcode as ""1""",,,
2010CA.NM103,Name Last or Organization Name,Organization Name Last Name,R,,,,Member_Last_Name,Claim Level,
,,,,,,,Member_Name,Claim Level,concatenate NM104/5/3/7 (First Middle Last Suffix)
2010CA.NM104,Name First,Patient  First Name,S,,,,Member_First_Name,Claim Level,
2010CA.NM105,Name Middle,Patient Middle Name or Initial,S,,,,,,
2010CA.NM107,Name Suffix,Patient Name Suffix,S,,,,,,
Segment - N3 Patient Address (Situational),,,,,,,,,
2010CA.N301,Address Information,Code identifying the Patient address,R,,1000 JACKSON ST,,Member_Street_Address,Claim Level,
2010CA.N302,Address Information,Code identifying the Patient address,S,,,,,,
"Segment - N4 Patient City, State, ZIP Code (Situational)",,,,,,,,,
2010CA.N401,City Name,Free-form text for city name,R,,,,Member_City_Name,Claim Level,
2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,Member_State_Code,Claim Level,
2010CA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks,S,,,,Member_Postal_Code,Claim Level,
2010CA.N404,Country Code,Code identifying the country,S,,,,,,
2010CA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - DMG Patient Demographic Information (Situational),,,,,,,,,
