̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
,ISA - Interchange Control Header (Required),,,,,,
ISA01,Authorization Information Qualifier,R,00 : No Authorization Information Present,00,,,
ISA02,Authorization Information,R,"00: No Authorization Information Present (No
Meaningful Information in I02)
03:Additional Data Identification",Blank (10 spaces),,,
ISA03,Security Information Qualifier,R,00,00,,,
ISA04,Security Information,R,Blank (10 spaces),Blank (10 spaces),,,
ISA05,Interchange ID Qualifier,R,ZZ - Mutually Defined,ZZ - Mutually Defined,,,
ISA06,Interchange Sender ID,R,<Sender ID>,"Hardcode  as ""Product""",,,
ISA07,Interchange ID Qualifier,R,ZZ,ZZ,,,
ISA08,Interchange Receiver ID,R,<Receiver ID>,"Hardcode  as ""Product""",,,
ISA09,Interchange Date,R,SysDate (YYMMDD),SysDate (YYMMDD),,,
ISA10,Interchange Time,R,SysTime (HHMM),SysTime (HHMM),,,
ISA11,Repetition Separator,R,^,^,,,
ISA12,Interchange Control Version Number,R,00501,00501,,,
ISA13,Interchange Control Number,R,,Generate ID In EDIFECS (9 Bytes),,,"Must be a fixed length with nine (9) characters and match IEA02 Used to identify file level duplicate collectively with GS06, ST02, and BHT03"
ISA14,Acknowledgment Requested,R,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",1,,,
ISA15,Interchange Usage Indicator,R,P : Production Data T : Test,"P for Prod
T for Test",,,
ISA16,Component Element Separator,R,": = Element separator
~ = Segment Terminator",:,,,
,GS - Functional Group Header (Required),,,,,,
GS01,Functional Identifier Code,R,HC : Health Care Claim (837),HC,,,
GS02,Application Sender's Code,R,<Sender ID>,"Hardcode  as ""Product""",,,This value must match the value in ISA08 without the padding
GS03,Application Receiver's Code,R,<HealthPlan ID>/,"Hardcode  as ""Product""",,,
GS04,Date,R,SysDate (YYYYMMDD),SysDate (YYYYMMDD),,,
GS05,Time,R,SysTime (HHMM),SysTime (HHMM),,,
GS06,Group Control Number,R,<Group Control Number>,Generate ID In EDIFECS (1-9 Bytes),,,"This value must match the value in GE02

Used to identify file level duplicates
collectively with ISA13, ST02, and BHT03"
GS07,Responsible Agency Code,R,X : Accredited Standards Committee X12,X,,,
GS08,Version / Release / Industry Identifier Code,R,005010X222A2,005010X223A2,,,
,ST - Transaction Set Header (Required),,,,,,
ST01,Transaction Set Identifier Code,R,837 : Health Care Claim,837,,,
ST02,Transaction Set Control Number,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",Generate ID In EDIFECS (4 Bytes),,,
ST03,Implementation Convention Reference,R,005010X223A2,005010X223A2,,,
,BHT - Beginning of Hierarchical Transaction (Required),,,,,,
BHT01,Hierarchical Structure Code,R,"0019- Information Source, Subscriber, Dependent",0019,,,
BHT02,Transaction Set Purpose Code,R,"00- Reuse
18-Original",00,,,
BHT03,Reference Identification,R,Originator Application Transaction Identifier,Auto Generate In EDIFECS.,,,Should be CCYYMMDDHHMMSS
BHT04,Date,R,,SysDate (YYYYMMDD),,,
BHT05,Time,R,,SysTime (HHMMSS),,,
BHT06,Transaction Type Code,R,"31- Subrogation Demand
RP- Reporting
CH- Chargeable",RP,,,
,Loop 1000A (Required),,,,,,
,Segment NM1 - Submitter Name  (Required),,,,,,
1000A.NM101,Entity Identifier Code,R,41- Submitter,41,,,
1000A.NM102,Entity Type Qualifier,R,"1- Person Entity
2-Non Person Entity",2,,,
1000A.NM103,Name Last or Organization Name,R,<Submitter Last/Org Name>,"Hardcode  as ""Product""",,,
1000A.NM104,Name First,S,,,,,
1000A.NM105,Name Middle,S,,,,,
1000A.NM108,Identification Code Qualifier,R,46- ETIN (Electronic Transmitter Identification Number),46,,,
1000A.NM109,Identification Code,R,,"Hardcode  as ""Product""",,,
,Segment PER - Submitter EDI Contact Information  (Required),,,,,,
1000A.PER01,Contact Function Code,R,IC Information Contact,IC,,,
1000A.PER02,Name,S,<Submitter Name> - JOAN KOSSOW,"Hardcode  as ""Product""",,,
1000A.PER03,Communication Number Qualifier,R,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",TE,,,
1000A.PER04,Communication Number,R,<Email/Faxsimile Number/Telephone Number> - 2513450000,"Hardcode  as ""1234567890""",,,
1000A.PER05,Communication Number Qualifier,S,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,
1000A.PER06,Communication Number,S,<Email/Faxsimile Number/Telephone Number> 2513450100,,,,
1000A.PER07,Communication Number Qualifier,S,"""EM"" - Electronic Mail EM
""FX"" - Facsimile
""TE"" - Telephone",,,,
1000A.PER08,Communication Number,S,<Email/Faxsimile Number/Telephone Number>,,,,
,Loop 1000B (Required),,,,,,
,Segment NM1 - Receiver Name  (Required),,,,,,
1000B.NM101,Entity Identifier Code,R,40- Receiver,40,,,
1000B.NM102,Entity Type Qualifier,R,2-Non Person Entity,2,,,
1000B.NM103,Name Last or Organization Name,R,,"Hardcode  as ""Product""",,,
1000B.NM108,Identification Code Qualifier,R,46- ETIN (Electronic Transmitter Identification Number),46,,,
1000B.NM109,Identification Code,R,,"Hardcode  as ""Product""",,,
,Loop 2000A (Required),,,,,,
,Segment HL - Billing Provider Hierarchical Level  (Required),,,,,,
2000A.HL01,Hierarchical ID Number,R,,Generated by Edifecs,,,
2000A.HL03,Hierarchical Level Code,R,20 : Information Source,20,,,
2000A.HL04,Hierarchical Child Code,R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",Generated by Edifecs,,,
,Segment PRV - Billing Provider Specialty Information  (Situational),,,,,,
2000A.PRV01,Provider Code,R,BI : Billing,BI,,,
2000A.PRV02,Reference Identification Qualifier,R,PXC :  Health Care Provider Taxonomy Code,PXC,,,
2000A.PRV03,Reference Identification,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/speciality/specialtyInformation/taxonomyCode,First instance will be mapped if more than one taxonomycode,
,Segment CUR - Foreign Currency Information (Situational),,,,,,
2000A.CUR01,Entity Identifier Code,R,,,,,
2000A.CUR02,Currency Code,R,<Currency Code>,,,,
,Loop 2010AA (Required),,,,,,
,Segment NM1 - Billing Provider Name (Required),,,,,,
2010AA.NM101,Entity Identifier Code,R,85 - Billing provider,85,,,
2010AA.NM102,Entity Type Qualifier,R,"1 : Person
2 : Non-Person Entity",2,,,
2010AA.NM103,Name Last or Organization Name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/name,,
2010AA.NM104,Name First,S,,,,,
2010AA.NM105,Name Middle,S,,,,,
2010AA.NM107,Name Suffix,S,,,,,
2010AA.NM108,Identification Code Qualifier,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2010AA.NM109,Identification Code,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/npi,,
,Segment N3 - Billing Provider Address (Required),,,,,,
2010AA.N301,Address Information,R,,,"claim/supplierLocation/correspondenceAddress/address,  If present
Else getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/address",,
2010AA.N302,Address Information,S,,,"claim/supplierLocation/correspondenceAddress/address2,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/address2",,
,"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,,,,,
2010AA.N401,City Name,R,,,"claim/supplierLocation/correspondenceAddress/city,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/city",,
2010AA.N402,State or Province Code,S,,,"claim/supplierLocation/correspondenceAddress/stateCode,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/stateCode",,
2010AA.N403,Postal Code,S,,,"claim/supplierLocation/correspondenceAddress/zipCode + claim/supplierLocation/correspondenceAddress/zipExtension ,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/zipCode + getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/zipExtension",Plus Symbol Signifies Concatenation NOT Addition,
2010AA.N404,Country Code,S,,,"claim/supplierLocation/correspondenceAddress/countryCode,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/countryCode",,
2010AA.N407,Country Subdivision Code,S,,,,,
,Segment REF - Billing Provider Tax Identification (Required),,,,,,
2010AA.REF01,Reference Identification Qualifier,R,"SY - Social Security Number
EI - Employer's Identification Number",EI,,,
2010AA.REF02,Reference Identification,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/TIN,"(1-50 bytes, no hyphens)",
,Segment - PER Billing Provider Contact Information (Situational),,,,,,
2010AA.PER01,Contact Function Code,R,IC -  Information Contact,IC,,,
2010AA.PER02,Name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/name,,
2010AA.PER03,Communication Number Qualifier,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",TE,,,
2010AA.PER04,Communication Number,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/telephoneNumber,,
2010AA.PER05,Communication Number Qualifier,S,"""EM"" : Electronic Mail",EM,,,
2010AA.PER06,Communication Number,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/email,,
,Loop 2010AB (Situational),,,,,,
,Segment - NM1 Pay-to Address Name (Situational),,,,Map this loop only if the address is different from the 2010AA Address,,
2010AB.NM101,Entity Identifier Code,R,87- Pay To Provider,87,,,
2010AB.NM102,Entity Type Qualifier,R,"1- Person Entity
2- Non Person Entity",2,,,
