EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,"Mapped to
Integration PlusTable Name",Column Name,Column Desc,Comments
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,,,,,
GS08,Version / Release / Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X223A2,,,,,
ST - Transaction Set Header Segment,,,,,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,,,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",2,,,,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X223A2,,,,,
BHT - Beginning Of Hierarchical Transaction Segment,,,,,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019- Information Source, Subscriber, Dependent",,,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",,,,,
BHT03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,<Originator Application Transaction Identifier>,75041,,,,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD) -,,SUBMITTED_CLAIM,CLAIM_CREATION_DATE,,
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),121314,SUBMITTED_CLAIM,CLAIM_CREATION_TIME,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,CH- Chargeable,,,,,
Loop 1000A (Required)Loop Repeat: 1,,,,,,,,,
Segment NM1 - Submitter Name  (Required),,,,,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,,,,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Submitter Last/Org Name>,THE SSI GROUP,SUBMITTED_CLAIM,SUBMITTER_NAME,,
1000A.NM104,Name First,Individual first name,S,,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,<Submitter ID>,100SS,SUBMITTED_CLAIM,SUBMITTER_IDENTIFICATION_CODE,,
Segment PER - Submitter EDI Contact Information,,,,,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC,,,,,
1000A.PER02,Name,Submitter Contact Name,S,<Submitter Name> - JOAN KOSSOW,,,,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,<Email/Faxsimile Number/Telephone Number> - 2513450000,,,,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail
""FX"" - Facsimile
""TE"" - Telephone",,,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number> 2513450100,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" - Electronic Mail EM
""FX"" - Facsimile
""TE"" - Telephone",,,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,<Email/Faxsimile Number/Telephone Number>,,,,,
Loop 1000B (Required)Loop Repeat: 1,,,,,,,,,
Segment NM1 - Receiver Name  (Required),,,,,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,40 : Receiver,,,,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,,
1000B.NM103,Name Last or Organization Name,Code identifying an organizational NAME,R,,HealthPlan Name,SUBMITTED_CLAIM,RECEIVER_NAME,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,,
1000B.NM109,Identification Code,Code identifying a party,R,,<HealthPlan Payer ID>,SUBMITTED_CLAIM,RECEIVER_IDENTIFICATION_CODE,,
Loop 2000A (Required)Loop Repeat: >1,,,,,,,,,
Segment HL - Billing Provider Hierarchical Level  (Required),,,,,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",,,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,,,,,
2000A.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",,,,,
Segment PRV - Billing Provider Specialty Information  (Situational),,,,,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_REFERENCE_IDENTIFIER,,
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_TAXONOMY_CODE,,
Segment CUR - Foreign Currency Information (Situational),,,,,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,<Currency Code>,,,,,
Loop 2010AA (Required) Loop Repeat: 1,,,,,,,,,
Segment NM1 - Billing Provider Name (Required),,,,,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 - Billing provider,,,,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,<Billing Provider Organizational Name>,MILLCREEK OF ARKANSAS,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_LAST_NAME,,
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,<Billing Provider NPI> -,52482036,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_IDENTIFIER,,
Segment N3 - Billing Provider Address (Required),,,,,,,,,
2010AA.N301,Address Information,Code identifying the address,R,<Billing Provider Address Line>,4495 YUKON COURT APT 78,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_ADDRESS_1,,
2010AA.N302,Address Information,Code identifying the address,S,<Billing Provider Address Line>,PO BOX 17471,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_ADDRESS_2,,
"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,,,,,,,,
2010AA.N401,City Name,Code identifying the address,R,,DENVER,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_CITY,,
2010AA.N402,State or Province Code,Code identifying the address,S,,CO,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_STATE_CODE,,
2010AA.N403,Postal Code,Code identifying the address,S,,802044507,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_POSTAL_CODE,,
2010AA.N404,Country Code,Code identifying the address,S,,,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_COUNTRY_CODE,,
2010AA.N407,Country Subdivision Code,,S,,,,,,
Segment REF - Billing Provider Tax Identification (Required),,,,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"EI : Employer’s Identification Number
SY : Social Security Number",,,,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_TAX_IDENTIFICATION_NUMBER,,
Segment - PER Billing Provider Contact Information (Situational),,,,,,,,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,,,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,SUBMITTED_CLAIM,BILLING_PROVIDER_CONTACT_NAME,Contact name of the Billing Provider.,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone","FX- Facsimile
TE - Telephone",,,,
2010AA.PER04,Communication Number,"Complete communications number including
country or area code",R,,3033981735,SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,BILLING_PROVIDER_CONTACT_INFO,Contact Info of the Billing Provider.,
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension","FX- Facsimile
TE - Telephone",,,,
2010AA.PER06,Communication Number,Communication Number,S,,3033981649,,,,
Loop 2010AB (Situational) Loop Repeat: 1,,,,,,,,,
Segment - NM1 Pay-to Address Name (Situational),,,,,,,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,,,,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",,,,,
Segment - N3 Pay-to Address - ADDRESS (Required),,,,,,,,,
2010AB.N301,Address Information,Address Information,R,,PO BOX 17379,SUBMITTED_CLAIM,PAY_TO_ADDRESS_1,,
2010AB.N302,Address Information,Address Information,S,,,SUBMITTED_CLAIM,PAY_TO_ADDRESS_2,,
"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,,,,,,,,
2010AB.N401,City Name,Free-form text for city name,R,,DENVER,SUBMITTED_CLAIM,PAY_TO_ADDRESS_CITY,,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,SUBMITTED_CLAIM,PAY_TO_ADDRESS_STATE_NAME,,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802170379,SUBMITTED_CLAIM,PAY_TO_ADDRESS_POSTAL_CODE,,
2010AB.N404,Country Code,Code identifying the country,S,,,SUBMITTED_CLAIM,PAY_TO_ADDRESS_COUNTRY_CODE,,
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Loop 2010AC (Situational)  Loop Repeat: 1,,,,,,,,,
Segment - NM1 Pay-To Plan Name (Situational),,,,,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
Segment - N3 Pay-to Plan Address (Required),,,,,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,,
"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,,,,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Pay-to Plan Secondary Identification (Required),,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,,R,,,,,,
2010AC.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Pay-To Plan Tax Identification Number (Required),,,,,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2000B (Required) Loop Repeat: >1,,,,,,,,,
Segment - HL Subscriber Hierarchical Level (Required),,,,,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",,,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,,,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22- Subscriber,,,,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",0 /1 Based On The Count - 1,,,,
Segment - SBR Subscriber Information (Required),,,,,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T  : Tertiary",S,,,,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,"1 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_RELATIONSHIP_CODE,,
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_POLICY_NUMBER,,
2000B.SBR04,Name,,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_GROUP_NAME,,
2000B.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.",,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_FILING_INDICATOR,,
Loop 2010BA (Required)Loop Repeat: 1,,,,,,,,,
Segment - NM1 Subscriber Name (Required),,,,,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,,,,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_LAST_NAME,,
2010BA.NM104,Name First,Individual first name,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_FIRST_NAME,,
2010BA.NM105,Name Middle,Individual middle name or initial,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_MIDDLE_NAME,,
2010BA.NM107,Name Suffix,Suffix,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_NAME_SUFFIX,,
2010BA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"II :  Standard Unique Health Identifier for each Individual in the United States
MI  :  Member Identification Number",,,,,
2010BA.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,S,,561005,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_IDENTIFICATION_CODE,,
Segment - N3 Subscriber Address (Situational),,,,,,,,,
2010BA.N301,Address Information,Address Information,R,,4495 YUKON COURT APT 78,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_1,,
2010BA.N302,Address Information,,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_2,,
"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,,,,,,,,
2010BA.N401,City Name,Free-form text for city name,R,,WHEAT RIDGE,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_CITY,,
2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_STATE,,
2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,800333283,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_ZIP,,
2010BA.N404,Country Code,Code identifying the country,S,,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_ADDRESS_COUNTRY,,
2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - DMG Subscriber Demographic Information (Situational),,,,,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format,,,,,
2010BA.DMG02,Date Time Period,Date Time Period,R,YYYYMMDD,,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_BIRTH_DATE,,
2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male",,SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,SUBSCRIBER_GENDER,,
Segment - REF Subscriber Secondary Identification (Situational),,,,,,,,,
2010BA.REF01,Reference Identification Qualifier,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,SY Social Security Number,,,,,
2010BA.REF02,Reference Identification,Code qualifying the Reference Identification,R,,,,,,
Segment - REF Property and Casualty Claim Number (Situational),,,,,,,,,
2010BA.REF01,Reference Identification Qualifier,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,Y4 Agency Claim Number,,,,,
2010BA.REF02,Reference Identification,Code qualifying the Reference Identification,R,,,,,,
Loop 2010BB (Required) Loop Repeat: 1,,,,,,,,,
Segment - NM1 Payer Name (Required),,,,,,,,,
2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR -Payer,,,,,
2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,,
2010BB.NM103,Name Last or Organization Name,Name Last or Organization Name,R,HealthPlan,,SUBMITTED_CLAIM_OTHER_PAYER,CLAIM_PAYER_NAME,,
2010BB.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",,,,,
2010BB.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,R,,COACC,SUBMITTED_CLAIM_OTHER_PAYER,CLAIM_PAYER_IDENTIFICATION_CODE,,
Segment - N3 Payer Address (Situational),,,,,,,,,
2010BB.N301,Address Information,Address Information,R,,PO BOX 17471,,,,
2010BB.N302,Address Information,Address Information,S,,,,,,
"Segment - N4 Payer City, State, ZIP Code (Situational)",,,,,,,,,
2010BB.N401,City Name,Free-form text for city name,R,,DENVER,,,,
2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,,,,
2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802170470,,,,
2010BB.N404,Country Code,Code identifying the country,S,,,,,,
2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - REF Payer Secondary Identification (Situational),,,,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Segment - REF Billing Provider Secondary Identification (Situational),,,,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
2010BB.DMG03,Gender Code,,R,,,,,,
"Loop 2000C - Patient Hierarchical Level (Situational)  In case of dependent claims (if the dependant is the patient ),  2000C loop will be there and the 2300 and 2400 loop will be below 2000C in that scenario)",,,,,,,,,
Segment HL -  Patient Hierarchical Level (Situational),,,,,,,,,
2000C.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,,,,,,
2000C.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,,,,,,
2000C.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,"23 : Dependent (the information
in this HL applies to the patient when the subscriber
and the patient are not the same person)",,,,,
2000C.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described",R,"0 :  No Subordinate HL Segment in This Hierarchical
Structure",,,,,
Segment PAT - Patient information,,,,,,,,,
2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 : Spouse
19 : Child
18:self
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_SUBS_RELATIONSHIP,If Subscriber and patient are different 2000C PAT segment should be populated to 2000C PAT (SUBMITTED_CLAIM_PATIENT_DETAILS),
Loop 2010CA - Patient Name (Situational)  Loop Repeat: 1,,,,,,,,,
Segment - NM1 Patient Name (Required),,,,,,,,,
2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QC : Patient,,,,,
2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1: Person,,,,,
2010CA.NM103,Name Last or Organization Name,Organization Name Last Name,R,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_LAST_NAME,,
2010CA.NM104,Name First,Patient  First Name,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_FIRST_NAME,,
2010CA.NM105,Name Middle,Patient Middle Name or Initial,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_MIDDLE_NAME,,
2010CA.NM107,Name Suffix,Patient Name Suffix,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_NAME_SUFFIX,,
Segment - N3 Patient Address (Situational),,,,,,,,,
2010CA.N301,Address Information,Code identifying the Patient address,R,,1000 JACKSON ST,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_1,,
2010CA.N302,Address Information,Code identifying the Patient address,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_2,,
"Segment - N4 Patient City, State, ZIP Code (Situational)",,,,,,,,,
2010CA.N401,City Name,Free-form text for city name,R,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_CITY,,
2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_STATE,,
2010CA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_ZIP,,
2010CA.N404,Country Code,Code identifying the country,S,,,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_ADDRESS_COUNTRY,,
2010CA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Segment - DMG Patient Demographic Information (Situational),,,,,,,,,
2010CA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2010CA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times/Patient Birth Date",R,,19670712,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_BIRTH_DATE,,
